fecha reporte web,ID de caso,Casos acumulados,Recuperados,Recuperados acumulados,Fallecidos,Fallecidos acumulados
2020-03-06,1,1,1,1,0,0
2020-03-07,0,1,0,1,0,0
2020-03-08,0,1,0,1,0,0
2020-03-09,2,3,2,3,0,0
2020-03-10,0,3,0,3,0,0
2020-03-11,6,9,6,9,0,0
2020-03-12,5,14,5,14,0,0
2020-03-13,5,19,5,19,0,0
2020-03-14,18,37,18,37,0,0
2020-03-15,16,53,16,53,0,0
2020-03-16,14,67,13,66,1,1
2020-03-17,25,92,25,91,0,1
2020-03-18,12,104,12,103,0,1
2020-03-19,26,130,26,129,0,1
2020-03-20,48,178,45,174,3,4
2020-03-21,34,212,33,207,1,5
2020-03-22,29,241,28,235,1,6
2020-03-23,73,314,69,304,4,10
2020-03-24,105,419,101,405,4,14
2020-03-25,61,480,60,465,1,15
2020-03-26,10,490,9,474,1,16
2020-03-27,49,539,45,519,4,20
2020-03-28,69,608,64,583,5,25
2020-03-29,94,702,91,674,3,28
2020-03-30,96,798,86,760,9,37
2020-03-31,107,905,101,861,6,43
2020-04-01,160,1065,147,1008,12,55
2020-04-02,96,1161,92,1100,4,59
2020-04-03,105,1266,95,1195,10,69
2020-04-04,140,1406,129,1324,11,80
2020-04-05,79,1485,72,1396,7,87
2020-04-06,94,1579,83,1479,11,98
2020-04-07,129,1708,120,1599,9,107
2020-04-08,346,2054,323,1922,22,129
2020-04-09,169,2223,151,2073,18,147
2020-04-10,251,2474,233,2306,18,165
2020-04-11,235,2709,208,2514,27,192
2020-04-12,67,2776,61,2575,6,198
2020-04-13,77,2853,75,2650,1,199
2020-04-14,126,2979,119,2769,6,205
2020-04-15,125,3104,111,2880,13,218
2020-04-16,128,3232,118,2998,10,228
2020-04-17,205,3437,196,3194,9,237
2020-04-18,183,3620,172,3366,11,248
2020-04-19,174,3794,168,3534,6,254
2020-04-20,182,3976,172,3706,9,263
2020-04-21,171,4147,162,3868,8,271
2020-04-22,193,4340,188,4056,5,276
2020-04-23,194,4534,177,4233,16,292
2020-04-24,304,4838,289,4522,14,306
2020-04-25,261,5099,247,4769,13,319
2020-04-26,237,5336,230,4999,6,325
2020-04-27,218,5554,212,5211,4,329
2020-04-28,354,5908,331,5542,23,352
2020-04-29,261,6169,246,5788,15,367
2020-04-30,296,6465,272,6060,23,390
2020-05-01,500,6965,479,6539,18,408
2020-05-02,277,7242,255,6794,20,428
2020-05-03,422,7664,407,7201,12,440
2020-05-04,307,7971,298,7499,8,448
2020-05-05,641,8612,589,8088,44,492
2020-05-06,347,8959,334,8422,10,502
2020-05-07,497,9456,483,8905,12,514
2020-05-08,594,10050,560,9465,31,545
2020-05-09,444,10494,425,9890,19,564
2020-05-10,568,11062,535,10425,30,594
2020-05-11,550,11612,525,10950,24,618
2020-05-12,658,12270,628,11578,26,644
2020-05-13,659,12929,626,12204,28,672
2020-05-14,680,13609,647,12851,32,704
2020-05-15,606,14215,583,13434,21,725
2020-05-16,723,14938,690,14124,31,756
2020-05-17,635,15573,611,14735,19,775
2020-05-18,721,16294,695,15430,20,795
2020-05-19,640,16934,608,16038,30,825
2020-05-20,752,17686,718,16756,34,859
2020-05-21,643,18329,620,17376,23,882
2020-05-22,801,19130,766,18142,33,915
2020-05-23,1046,20176,990,19132,50,965
2020-05-24,998,21174,953,20085,42,1007
2020-05-25,806,21980,788,20873,17,1024
2020-05-26,1022,23002,990,21863,24,1048
2020-05-27,1101,24103,1065,22928,30,1078
2020-05-28,1262,25365,1204,24132,53,1131
2020-05-29,1322,26687,1275,25407,42,1173
2020-05-30,1548,28235,1459,26866,84,1257
2020-05-31,1147,29382,1112,27978,32,1289
2020-06-01,1110,30492,1073,29051,34,1323
2020-06-02,1340,31832,1253,30304,81,1404
2020-06-03,1521,33353,1462,31766,55,1459
2020-06-04,1767,35120,1677,33443,80,1539
2020-06-05,1515,36635,1442,34885,59,1598
2020-06-06,1392,38027,1325,36210,56,1654
2020-06-07,1209,39236,1132,37342,69,1723
2020-06-08,1483,40719,1400,38742,77,1800
2020-06-09,1359,42078,1296,40038,55,1855
2020-06-10,1604,43682,1529,41567,66,1921
2020-06-11,1530,45212,1469,43036,56,1977
2020-06-12,1646,46858,1549,44585,82,2059
2020-06-13,1888,48746,1775,46360,105,2164
2020-06-14,2194,50940,2071,48431,109,2273
2020-06-15,2125,53065,2002,50433,108,2381
2020-06-16,1869,54934,1773,52206,85,2466
2020-06-17,2115,57049,1974,54180,136,2602
2020-06-18,3171,60220,2965,57145,190,2792
2020-06-19,3060,63280,2894,60039,144,2936
2020-06-20,2357,65637,2216,62255,131,3067
2020-06-21,3019,68656,2847,65102,155,3222
2020-06-22,2532,71188,2438,67540,82,3304
2020-06-23,2389,73577,2242,69782,133,3437
2020-06-24,3541,77118,3360,73142,161,3598
2020-06-25,3486,80604,3292,76434,171,3769
2020-06-26,3843,84447,3655,80089,161,3930
2020-06-27,4151,88598,3945,84034,185,4115
2020-06-28,3178,91776,2997,87031,160,4275
2020-06-29,3274,95050,3130,90161,134,4409
2020-06-30,2803,97853,2677,92838,110,4519
2020-07-01,4163,102016,3924,96762,212,4731
2020-07-02,4101,106117,3877,100639,203,4934
2020-07-03,3394,109511,3175,103814,202,5136
2020-07-04,3891,113402,3683,107497,182,5318
2020-07-05,3722,117124,3541,111038,162,5480
2020-07-06,3170,120294,3023,114061,130,5610
2020-07-07,4213,124507,3997,118058,186,5796
2020-07-08,4144,128651,3906,121964,219,6015
2020-07-09,5337,133988,5020,126984,292,6307
2020-07-10,6801,140789,6539,133523,223,6530
2020-07-11,4586,145375,4352,137875,206,6736
2020-07-12,5084,150459,4849,142724,202,6938
2020-07-13,3832,154291,3655,146379,153,7091
2020-07-14,5622,159913,5366,151745,230,7321
2020-07-15,5271,165184,4974,156719,262,7583
2020-07-16,8037,173221,7660,164379,325,7908
2020-07-17,8928,182149,8622,173001,259,8167
2020-07-18,8560,190709,8222,181223,300,8467
2020-07-19,6578,197287,6296,187519,230,8697
2020-07-20,6726,204013,6427,193946,261,8958
2020-07-21,7031,211044,6714,200660,272,9230
2020-07-22,7391,218435,6977,207637,359,9589
2020-07-23,7945,226380,7597,215234,301,9890
2020-07-24,7168,233548,6771,222005,346,10236
2020-07-25,7254,240802,6941,228946,274,10510
2020-07-26,8181,248983,7806,236752,322,10832
2020-07-27,8126,257109,7744,244496,333,11165
2020-07-28,10284,267393,9827,254323,376,11541
2020-07-29,8670,276063,8231,262554,377,11918
2020-07-30,9964,286027,9562,272116,330,12248
2020-07-31,9489,295516,9129,281245,297,12545
2020-08-01,10673,306189,10297,291542,322,12867
2020-08-02,11470,317659,11013,302555,375,13242
2020-08-03,10198,327857,9817,312372,228,13470
2020-08-04,7129,334986,6830,319202,262,13732
2020-08-05,10734,345720,10283,329485,400,14132
2020-08-06,11996,357716,11546,341031,373,14505
2020-08-07,9484,367200,9161,350192,278,14783
2020-08-08,9675,376875,9340,359532,284,15067
2020-08-09,10610,387485,10236,369768,317,15384
2020-08-10,10143,397628,9731,379499,361,15745
2020-08-11,12830,410458,12381,391880,374,16119
2020-08-12,12064,422522,11631,403511,366,16485
2020-08-13,11287,433809,10794,414305,429,16914
2020-08-14,11306,445115,10900,425205,352,17266
2020-08-15,11578,456693,11208,436413,317,17583
2020-08-16,11644,468337,11282,447695,310,17893
2020-08-17,8327,476664,8053,455748,230,18123
2020-08-18,12463,489127,12116,467864,302,18425
2020-08-19,13054,502181,12570,480434,402,18827
2020-08-20,11541,513722,11085,491519,383,19210
2020-08-21,8419,522141,8064,499583,312,19522
2020-08-22,10965,533106,10566,510149,339,19861
2020-08-23,8044,541150,7705,517854,295,20156
2020-08-24,10546,551696,10231,528085,275,20431
2020-08-25,10433,562129,9958,538043,414,20845
2020-08-26,10143,572272,9801,547844,281,21126
2020-08-27,9753,582025,9395,557239,311,21437
2020-08-28,8499,590524,8153,565392,284,21721
2020-08-29,9394,599918,9082,574474,256,21977
2020-08-30,8024,607942,7776,582250,208,22185
2020-08-31,7235,615177,6978,589228,212,22397
2020-09-01,8901,624078,8625,597853,237,22634
2020-09-02,9268,633346,8959,606812,254,22888
2020-09-03,8237,641583,7931,614743,249,23137
2020-09-04,8488,650071,8185,622928,253,23390
2020-09-05,8394,658465,8135,631063,207,23597
2020-09-06,8066,666531,7839,638902,180,23777
2020-09-07,5327,671858,5149,644051,149,23926
2020-09-08,7664,679522,7427,651478,188,24114
2020-09-09,7337,686859,7083,658561,207,24321
2020-09-10,7812,694671,7536,666097,220,24541
2020-09-11,7425,702096,7192,673289,197,24738
